Length			        AVX	    Avg time	Std deviation
2^20 = 1048576          true	0.2ms		0.4
2^20 = 1048576          false   1ms		    0
2^21 = 2097152          true	1.8ms		0.4
2^21 = 2097152          false   2.2ms		0.4
2^22 = 4194304          true	4.1ms		0.3
2^22 = 4194304          false   5ms		    0
2^23 = 8388608          true	10ms		0
2^23 = 8388608          false   11ms		0
2^24 = 16777216         true	22.4ms		1.11355
2^24 = 16777216         false   23.1ms		1.04403
2^25 = 33554432         true	43.1ms		0.3
2^25 = 33554432         false   45.5ms		0.921954
2^26 = 67108864         true	87.3ms		0.9
2^26 = 67108864         false   91.9ms		0.3
2^27 = 134217728        true	174.7ms		0.9
2^27 = 134217728        false   184.8ms		1.16619
2^28 = 268435456        true	346.7ms		1.34536
2^28 = 268435456        false   367.8ms		1.53623
2^29 = 536870912        true	640.9ms		10.173
2^29 = 536870912        false   706.9ms		1.44568
